Freq_GHz,dB_S11,Phase_S11_deg,VSWR
2.0,-0.00615156644318317,-171.4704505102807,2823.960394916374
2.01,-0.006085685988816031,-173.10463445407925,2854.531110987552
2.02,-0.006041587157856965,-174.72266601220412,2875.3669396166733
2.03,-0.006017290587679091,-176.32488853577965,2886.977073446115
2.04,-0.006010950822680924,-177.91164431820482,2890.021975205827
2.05,-0.006020850723038274,-179.4832741440362,2885.2700010055646
2.06,-0.00604539589044871,178.95988311812266,2873.5553952461723
2.07,-0.006083109140933725,177.41749088142058,2855.7403103749407
2.08,-0.006132625050502827,175.8892151678597,2832.6825551411794
2.09,-0.006192684595496957,174.3747248992276,2805.2098801571856
2.1,-0.006262129905901724,172.87369215429382,2774.100871368018
2.11,-0.00633989914663882,171.3857923946066,2740.071986255015
2.12,-0.0064250215390473115,169.91070466112072,2703.7699348806373
2.13,-0.006516612532117557,168.4481117437823,2665.768450304996
2.14,-0.006613869130815004,166.9977003260916,2626.5684687571543
2.15,-0.006716065386790965,165.5591611065565,2586.600805851442
2.16,-0.006822548055004412,164.13218889884564,2546.2305328204106
2.17,-0.006932732418297378,162.71648271234668,2505.7623964426825
2.18,-0.007046098280539945,161.31174581473377,2465.446767433605
2.19,-0.007162186127891584,159.91768577804953,2425.4857316225366
2.2,-0.007280593456718007,158.53401450971378,2386.0390497715293
2.21,-0.007400971265851887,157.16044826977765,2347.2298031078303
2.22,-0.007523020710240264,155.7967076756552,2309.1496130612245
2.23,-0.0076464899124160015,154.44251769548052,2271.8633774477767
2.24,-0.007771170927743409,153.0976076311577,2235.413504148915
2.25,-0.007896896859111642,151.761711092097,2199.823650055854
2.26,-0.00802353911632268,150.43456596055498,2165.10199047607
2.27,-0.008151004815329639,149.11591434943253,2131.244054512392
2.28,-0.008279234312280137,147.80550255331693,2098.2351671860597
2.29,-0.008408198867191163,146.50308099349488,2066.0525407503333
2.3,-0.008537898432121953,145.20840415760767,2034.6670568849459
2.31,-0.008668359558586402,143.92123053456436,2004.0447792377656
2.32,-0.008799633419088656,142.64132254527914,1974.1482326135688
2.33,-0.008931793937654463,141.36844646975467,1944.9374815591225
2.34,-0.009064936024314471,140.10237237098573,1916.3710374004243
2.35,-0.00919917390861361,138.8428740161208,1888.406619170708
2.36,-0.009334639567347596,137.5897287952774,1861.0017904569488
2.37,-0.009471481241822474,136.34271763837583,1834.1144910657754
2.38,-0.00960986204008627,135.1016249303198,1807.7034795802974
2.39,-0.009749958619753356,133.8662384248239,1781.728700365821
2.4,-0.00989195994717269,132.63634915715994,1756.151586387913
