h_sub [mm],L_sub [mm],W_sub [mm],r_ap [mm],r_w [mm],g_w [mm],f_w [mm],airgap [mm],L_gnd [mm],W_gnd [mm],Freq [GHz],|dB(S(Port1,Port1)) (Real)|,|dB(S(Port1,Port1)) (Imag)|,|dB(S(Port2,Port1)) (Real)|,|dB(S(Port2,Port1)) (Imag)|
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.5,-27.55898347337756,0.0,-0.020684157954618296,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.52,-27.535136798916625,0.0,-0.021126163962180818,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.54,-27.512925830801322,0.0,-0.021580426595474992,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.56,-27.492409375214688,0.0,-0.022047067321172804,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.58,-27.473606538251097,0.0,-0.02252622828077381,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.6,-27.457800427620725,0.0,-0.02301574046549623,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.62,-27.44126450979735,0.0,-0.02352232151055874,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.64,-27.42792460965483,0.0,-0.024038952117315052,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.66,-27.41848483792336,0.0,-0.024564277395699663,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.68,-27.406965244332643,0.0,-0.02510887386899193,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.7,-27.39833118052171,0.0,-0.025663591533893883,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.72,-27.392448132724784,0.0,-0.026228339147590644,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.74,-27.388409433866695,0.0,-0.02680432980562848,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.76,-27.38803295979476,0.0,-0.02738780299952323,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.78,-27.386347384089447,0.0,-0.027987056148434393,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.8,-27.38834099418763,0.0,-0.02859248437123008,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.82,-27.392534866866324,0.0,-0.02920594102035462,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.84,-27.398594433790635,0.0,-0.02982724504569699,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.86,-27.4072169092951,0.0,-0.030454149562995133,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.88,-27.417322208653818,0.0,-0.03108769357170884,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.9,-27.42992330963323,0.0,-0.03172497614890844,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.92,-27.444707539509086,0.0,-0.03236551021262567,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.94,-27.462532330699187,0.0,-0.0330067480207004,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.96,-27.481189792727996,0.0,-0.033651324728076734,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,2.98,-27.50231520871269,0.0,-0.0342953708186512,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,-27.525974023844483,0.0,-0.034937677817553435,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.02,-27.551774270256686,0.0,-0.035577846936984764,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.04,-27.580084329961302,0.0,-0.03621425831156128,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.06,-27.61044329585493,0.0,-0.036846699230652466,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.08,-27.643243438078123,0.0,-0.03747365604080094,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.1,-27.67802785178958,0.0,-0.0380949779336514,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.12,-27.71519866679291,0.0,-0.03870933584848922,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.14,-27.75461764964408,0.0,-0.039316275803542494,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.16,-27.796352155484044,0.0,-0.03991513663409847,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.18,-27.840171173671138,0.0,-0.04050578260990859,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.2,-27.886334680683742,0.0,-0.041087462058279386,0.0
