h_sub [mm],L_sub [mm],W_sub [mm],r_ap [mm],r_w [mm],g_w [mm],f_w [mm],airgap [mm],L_gnd [mm],W_gnd [mm],dia_L_Omega_RO5880_Diamond [mm],dia_W_Omega_RO5880_Diamond [mm],dia_h_Omega_RO5880_Diamond [mm],Freq [GHz],|dB(S(Port1,Port1)) (Real)|,|dB(S(Port1,Port1)) (Imag)|,|dB(S(Port2,Port1)) (Real)|,|dB(S(Port2,Port1)) (Imag)|
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.5,-32.25947630660825,0.0,-0.015539866088368564,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.52,-32.21514670020273,0.0,-0.015953919484657447,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.54,-32.17188152749748,0.0,-0.01638182087033596,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.56,-32.12969450729248,0.0,-0.01682383420773129,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.58,-32.08860026197379,0.0,-0.017280182411768017,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.6,-32.04861452640365,0.0,-0.017751041247856876,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.62,-32.009753865136176,0.0,-0.018236533473014765,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.64,-31.972035467754296,0.0,-0.0187367230025555,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.66,-31.935477162492273,0.0,-0.019251609142275923,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.68,-31.900096979680622,0.0,-0.019781121453543733,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.7,-31.865912958853496,0.0,-0.020325114977213125,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.72,-31.832943078051063,0.0,-0.020883366055584024,0.0
0.75,24.0,22.0,0.345,1.077,0.15,1.7,26.0,32.0,29.0,3.0,3.0,0.3,2.74,-31.801204527563808,0.0,-0.021455569413855194,0.0
